Time,Node Power (W),IB Switch Power AC estimated (W),Total Power (W)
2023-04-28 22:00:00,60229,2470,62699
2023-04-28 22:00:02,60192,2470,62662
2023-04-28 22:00:03,60118,2470,62588
2023-04-28 22:00:04,60081,2470,62551
2023-04-28 22:00:04,60044,2470,62514
2023-04-28 22:00:05,60044,2470,62514
2023-04-28 22:00:07,60081,2470,62551
2023-04-28 22:00:08,60118,2470,62588
2023-04-28 22:00:08,60118,2470,62588
2023-04-28 22:00:10,60118,2470,62588
2023-04-28 22:00:10,60155,2470,62625
2023-04-28 22:00:12,60155,2470,62625
2023-04-28 22:00:12,60118,2470,62588
2023-04-28 22:00:13,60081,2470,62551
2023-04-28 22:00:14,60118,2470,62588
2023-04-28 22:00:16,60118,2470,62588
2023-04-28 22:00:16,60118,2470,62588
2023-04-28 22:00:17,60118,2470,62588
2023-04-28 22:00:19,60081,2470,62551
2023-04-28 22:00:20,60081,2470,62551
2023-04-28 22:00:21,60081,2470,62551
2023-04-28 22:00:22,60044,2470,62514
2023-04-28 22:00:23,60044,2470,62514
2023-04-28 22:00:24,60044,2470,62514
2023-04-28 22:00:25,60007,2470,62477
2023-04-28 22:00:26,60081,2470,62551
2023-04-28 22:00:27,60155,2470,62625
2023-04-28 22:00:28,60192,2470,62662
2023-04-28 22:00:28,60155,2470,62625
2023-04-28 22:00:30,60192,2470,62662
2023-04-28 22:00:31,60081,2470,62551
2023-04-28 22:00:32,60081,2470,62551
2023-04-28 22:00:33,60118,2470,62588
2023-04-28 22:00:34,60155,2470,62625
2023-04-28 22:00:34,60118,2470,62588
2023-04-28 22:00:35,60192,2470,62662
2023-04-28 22:00:37,60118,2470,62588
2023-04-28 22:00:38,60118,2470,62588
2023-04-28 22:00:39,60081,2470,62551
2023-04-28 22:00:40,60118,2470,62588
2023-04-28 22:00:41,60155,2470,62625
2023-04-28 22:00:42,60155,2470,62625
2023-04-28 22:00:43,60155,2470,62625
2023-04-28 22:00:44,60155,2470,62625
2023-04-28 22:00:45,60118,2470,62588
2023-04-28 22:00:46,60118,2470,62588
2023-04-28 22:00:47,60118,2470,62588
2023-04-28 22:00:48,60118,2470,62588
2023-04-28 22:00:49,60081,2470,62551
2023-04-28 22:00:50,60118,2470,62588
2023-04-28 22:00:51,60118,2470,62588
2023-04-28 22:00:52,60229,2470,62699
2023-04-28 22:00:53,60229,2470,62699
2023-04-28 22:00:54,60118,2470,62588
2023-04-28 22:00:55,60081,2470,62551
2023-04-28 22:00:56,59674,2470,62144
2023-04-28 22:00:57,59268,2470,61738
2023-04-28 22:00:58,58898,2470,61368
2023-04-28 22:00:59,57937,2470,60407
2023-04-28 22:01:00,57382,2470,59852
2023-04-28 22:01:01,57012,2470,59482
2023-04-28 22:01:02,56938,2470,59408
2023-04-28 22:01:03,56827,2470,59297
2023-04-28 22:01:04,56790,2470,59260
2023-04-28 22:01:05,56717,2470,59187
2023-04-28 22:01:06,56717,2470,59187
2023-04-28 22:01:07,56717,2470,59187
