Time,"Total Power
(W)"
2023-05-10 19:55:00,10627
2023-05-10 19:55:01,10627
2023-05-10 19:55:02,10615
2023-05-10 19:55:03,10615
2023-05-10 19:55:04,10652
2023-05-10 19:55:05,10652
2023-05-10 19:55:06,10652
2023-05-10 19:55:07,10652
2023-05-10 19:55:08,10652
2023-05-10 19:55:09,10652
2023-05-10 19:55:10,10652
2023-05-10 19:55:11,10652
2023-05-10 19:55:12,10640
2023-05-10 19:55:13,10627
2023-05-10 19:55:14,10627
2023-05-10 19:55:15,10602
2023-05-10 19:55:16,10602
2023-05-10 19:55:17,10602
2023-05-10 19:55:18,10602
2023-05-10 19:55:19,10602
2023-05-10 19:55:20,10602
2023-05-10 19:55:21,10590
2023-05-10 19:55:22,10590
2023-05-10 19:55:23,10602
2023-05-10 19:55:24,10590
2023-05-10 19:55:25,10615
2023-05-10 19:55:26,10615
2023-05-10 19:55:27,10627
2023-05-10 19:55:28,10627
2023-05-10 19:55:29,10627
2023-05-10 19:55:30,10615
2023-05-10 19:55:31,10627
2023-05-10 19:55:32,10627
2023-05-10 19:55:33,10627
2023-05-10 19:55:34,10640
2023-05-10 19:55:35,10602
2023-05-10 19:55:36,10590
2023-05-10 19:55:37,10565
2023-05-10 19:55:38,10565
2023-05-10 19:55:39,10565
2023-05-10 19:55:40,10565
2023-05-10 19:55:41,10577
2023-05-10 19:55:42,10577
2023-05-10 19:55:44,10590
2023-05-10 19:55:45,10590
2023-05-10 19:55:46,10577
2023-05-10 19:55:47,10590
2023-05-10 19:55:48,10602
2023-05-10 19:55:49,10627
2023-05-10 19:55:50,10640
2023-05-10 19:55:51,10640
2023-05-10 19:55:52,10640
2023-05-10 19:55:53,10640
2023-05-10 19:55:54,10640
2023-05-10 19:55:55,10652
2023-05-10 19:55:56,10640
2023-05-10 19:55:57,10665
2023-05-10 19:55:58,10665
2023-05-10 19:55:59,10677
2023-05-10 19:56:00,10690
2023-05-10 19:56:01,10652
2023-05-10 19:56:02,10652
2023-05-10 19:56:03,10652
2023-05-10 19:56:04,10640
2023-05-10 19:56:05,10627
2023-05-10 19:56:06,10640
2023-05-10 19:56:07,10640
2023-05-10 19:56:08,10627
2023-05-10 19:56:09,10615
2023-05-10 19:56:10,10602
2023-05-10 19:56:11,10590
2023-05-10 19:56:12,10615
2023-05-10 19:56:13,10615
2023-05-10 19:56:14,10615
2023-05-10 19:56:15,10627
2023-05-10 19:56:16,10652
2023-05-10 19:56:17,10652
2023-05-10 19:56:18,10652
2023-05-10 19:56:19,10665
2023-05-10 19:56:20,10677
2023-05-10 19:56:21,10677
2023-05-10 19:56:22,10677
2023-05-10 19:56:23,10665
2023-05-10 19:56:24,10665
2023-05-10 19:56:25,10665
2023-05-10 19:56:26,10640
2023-05-10 19:56:27,10640
