Time,"Total Power
(W)"
2023-05-06 18:50:41,27802
2023-05-06 18:50:42,27811
2023-05-06 18:50:43,27819
2023-05-06 18:50:44,27821
2023-05-06 18:50:45,27820
2023-05-06 18:50:46,27807
2023-05-06 18:50:47,27797
2023-05-06 18:50:48,27800
2023-05-06 18:50:49,27802
2023-05-06 18:50:50,27790
2023-05-06 18:50:51,27788
2023-05-06 18:50:52,27792
2023-05-06 18:50:53,27797
2023-05-06 18:50:54,27812
2023-05-06 18:50:55,27830
2023-05-06 18:50:56,27826
2023-05-06 18:50:57,27829
2023-05-06 18:50:58,27838
2023-05-06 18:50:59,27832
2023-05-06 18:51:00,27823
2023-05-06 18:51:01,27813
2023-05-06 18:51:02,27805
2023-05-06 18:51:03,27803
2023-05-06 18:51:04,27793
2023-05-06 18:51:05,27789
2023-05-06 18:51:06,27783
2023-05-06 18:51:07,27800
2023-05-06 18:51:08,27807
2023-05-06 18:51:09,27813
2023-05-06 18:51:10,27809
2023-05-06 18:51:11,27817
2023-05-06 18:51:12,27817
2023-05-06 18:51:13,27821
2023-05-06 18:51:14,27823
2023-05-06 18:51:15,27808
2023-05-06 18:51:16,27805
2023-05-06 18:51:17,27803
2023-05-06 18:51:18,27791
2023-05-06 18:51:19,27773
2023-05-06 18:51:20,27771
2023-05-06 18:51:21,27787
2023-05-06 18:51:22,27796
2023-05-06 18:51:23,27804
2023-05-06 18:51:24,27801
2023-05-06 18:51:25,27811
2023-05-06 18:51:26,27809
2023-05-06 18:51:27,27806
2023-05-06 18:51:28,27806
2023-05-06 18:51:29,27788
2023-05-06 18:51:30,27786
2023-05-06 18:51:31,27775
2023-05-06 18:51:32,27760
2023-05-06 18:51:33,27762
2023-05-06 18:51:34,27742
2023-05-06 18:51:35,27744
2023-05-06 18:51:36,27755
2023-05-06 18:51:37,27765
2023-05-06 18:51:38,27768
2023-05-06 18:51:39,27776
2023-05-06 18:51:40,27788
2023-05-06 18:51:41,27800
2023-05-06 18:51:42,27801
2023-05-06 18:51:43,27793
2023-05-06 18:51:44,27775
2023-05-06 18:51:45,27757
2023-05-06 18:51:46,27739
2023-05-06 18:51:47,27717
2023-05-06 18:51:48,27850
2023-05-06 18:51:49,27764
2023-05-06 18:51:50,27897
2023-05-06 18:51:51,28123
2023-05-06 18:51:52,28030
2023-05-06 18:51:53,28057
2023-05-06 18:51:54,28162
2023-05-06 18:51:55,28107
2023-05-06 18:51:56,28107
2023-05-06 18:51:57,28099
2023-05-06 18:51:58,28067
2023-05-06 18:51:59,28081
2023-05-06 18:52:00,28083
2023-05-06 18:52:01,28131
2023-05-06 18:52:02,28139
2023-05-06 18:52:03,28082
2023-05-06 18:52:04,28110
2023-05-06 18:52:05,28150
2023-05-06 18:52:06,28098
2023-05-06 18:52:07,28464
2023-05-06 18:52:08,28290
2023-05-06 18:52:09,28130
2023-05-06 18:52:10,28124
2023-05-06 18:52:11,28099
2023-05-06 18:52:12,28097
2023-05-06 18:52:13,28070
2023-05-06 18:52:14,28063
2023-05-06 18:52:15,28072
2023-05-06 18:52:16,28075
2023-05-06 18:52:17,28191
2023-05-06 18:52:18,28194
2023-05-06 18:52:19,28095
2023-05-06 18:52:20,28102
2023-05-06 18:52:21,28108
2023-05-06 18:52:22,28107
2023-05-06 18:52:23,28109
2023-05-06 18:52:24,28123
2023-05-06 18:52:25,28110
2023-05-06 18:52:26,28132
2023-05-06 18:52:27,28100
2023-05-06 18:52:28,28076
2023-05-06 18:52:29,28101
2023-05-06 18:52:30,28509
2023-05-06 18:52:31,28257
2023-05-06 18:52:32,28225
2023-05-06 18:52:33,28535
2023-05-06 18:52:34,28912
2023-05-06 18:52:36,28456
2023-05-06 18:52:36,29562
2023-05-06 18:52:38,29859
2023-05-06 18:52:39,29479
2023-05-06 18:52:40,29028
2023-05-06 18:52:41,29004
2023-05-06 18:52:42,28999
2023-05-06 18:52:43,28806
2023-05-06 18:52:44,29233
2023-05-06 18:52:45,30466
2023-05-06 18:52:46,31084
2023-05-06 18:52:47,31449
2023-05-06 18:52:48,31759
2023-05-06 18:52:49,31826
2023-05-06 18:52:50,31942
2023-05-06 18:52:51,31997
2023-05-06 18:52:52,31513
2023-05-06 18:52:53,31318
2023-05-06 18:52:54,31311
2023-05-06 18:52:55,31332
2023-05-06 18:52:56,31362
2023-05-06 18:52:57,31345
2023-05-06 18:52:58,31336
2023-05-06 18:52:59,31318
2023-05-06 18:53:00,31309
2023-05-06 18:53:01,31311
2023-05-06 18:53:02,31312
2023-05-06 18:53:03,31297
2023-05-06 18:53:04,31294
2023-05-06 18:53:05,31307
2023-05-06 18:53:06,31334
2023-05-06 18:53:07,31332
2023-05-06 18:53:08,31416
2023-05-06 18:53:09,31684
2023-05-06 18:53:10,31381
2023-05-06 18:53:11,31304
2023-05-06 18:53:12,33459
2023-05-06 18:53:13,47056
2023-05-06 18:53:14,47507
2023-05-06 18:53:15,39052
2023-05-06 18:53:16,35972
2023-05-06 18:53:17,36100
2023-05-06 18:53:18,34805
2023-05-06 18:53:19,33459
2023-05-06 18:53:20,52605
2023-05-06 18:53:21,92798
2023-05-06 18:53:22,89205
2023-05-06 18:53:23,101700
2023-05-06 18:53:24,104551
2023-05-06 18:53:25,104200
2023-05-06 18:53:26,103637
2023-05-06 18:53:27,104415
2023-05-06 18:53:28,104220
2023-05-06 18:53:29,103608
2023-05-06 18:53:30,103539
2023-05-06 18:53:31,100258
2023-05-06 18:53:32,91547
2023-05-06 18:53:33,103973
2023-05-06 18:53:34,104768
2023-05-06 18:53:35,104024
2023-05-06 18:53:36,104024
2023-05-06 18:53:37,104667
2023-05-06 18:53:38,103778
2023-05-06 18:53:39,103524
2023-05-06 18:53:40,103982
